Status do Arquivo: Parcial
RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2024-11-18;A2ZT34;A2ZT;A2ZT;CASH;EQUITY-CASH;BDR;;;2022-01-31;9999-12-31;;;;;BRA2ZTBDR008;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRN;AZENTA INC;9999-12-31;FUNGIBLE;898956840;
2024-11-18;AAGR11;AAGR;AAGR;CASH;EQUITY-CASH;FUNDS;;;2024-11-11;9999-12-31;;;;;BRAAGRCTF017;CICGRY;;;;;;1;BRL;;;;;;;;;;;;;;;;;109;1;2;;;;CI  ER;ASSET BANK AGRONEG�CIOS FIAGRO -DC;9999-12-31;FUNGIBLE;114136;
2024-11-18;AALL34;AALL;AALL;CASH;EQUITY-CASH;BDR;;;2020-02-04;9999-12-31;;;;;BRAALLBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;115;1;2;;;;DRN;AMERICAN AIRLINES GROUP INC.;9999-12-31;FUNGIBLE;653540600;
2024-11-18;AALR3;AALR;AALR;CASH;EQUITY-CASH;SHARES;;;2020-04-28;9999-12-31;;;;;BRAALRACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;ALLIAN�A SA�DE E PARTICIPA��ES S.A.;9999-12-31;FUNGIBLE;118292816;NOVO MERCADO
2024-11-18;AAPL34;AAPL;AAPL;CASH;EQUITY-CASH;BDR;;;2024-11-08;9999-12-31;;;;;BRAAPLBDR004;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;153;1;2;;;;DRN ED;APPLE INC.;9999-12-31;FUNGIBLE;304082800000;
2024-11-18;AATH11;AATH;AATH;CASH;EQUITY-CASH;FUNDS;;;2023-11-08;9999-12-31;;;;;BRAATHCTF003;CICJMY;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;CI;ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA;9999-12-31;FUNGIBLE;144820;
2024-11-18;AAZQ11;AAZQ;AAZQ;CASH;EQUITY-CASH;FUNDS;;;2024-11-01;9999-12-31;;;;;BRAAZQCTF001;CICJRU;;;;;;1;BRL;;;;;;;;;;;;;;;;;123;1;2;;;;CI;AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO;9999-12-31;FUNGIBLE;24037284;
2024-11-18;ABBV34;ABBV;ABBV;CASH;EQUITY-CASH;BDR;;;2024-10-14;9999-12-31;;;;;BRABBVBDR001;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;136;1;2;;;;DRN;ABBVIE INC.;9999-12-31;FUNGIBLE;28261504000;
2024-11-18;ABCB4;ABCB;ABCB;CASH;EQUITY-CASH;SHARES;;;2024-07-01;9999-12-31;;;;;BRABCBACNPR4;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;146;1;2;;;;PN      N2;BCO ABC BRASIL S.A.;9999-12-31;FUNGIBLE;121695153;NIVEL 2
2024-11-18;ABCP11;ABCP;ABCP;CASH;EQUITY-CASH;FUNDS;;;2024-11-01;9999-12-31;;;;;BRABCPCTF000;CICIRU;;;;;;1;BRL;;;;;;;;;;;;;;;;;344;1;2;;;;CI;FDO INV IMOB GRAND PLAZA SHOPPING;9999-12-31;FUNGIBLE;4709082;
2024-11-18;ABEV3;ABEV;ABEV;CASH;EQUITY-CASH;SHARES;;;2024-07-11;9999-12-31;;;;;BRABEVACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;128;1;2;;;;ON;AMBEV S.A.;9999-12-31;FUNGIBLE;15757657336;
2024-11-18;ABEVOF25;ABEVO;FUTURO DE ABEV3;FINANCIAL;FUTURE;STOCK FUTURE;2025-01-17;F25;2024-11-11;2025-01-17;;;;;BRABEV310027;FFSCSX;;;;1;1;100;BRL;Financial;42;40;64;;;;;200001562875;ABEV3;;;;Price;;;;;;;;;;;;;;
2024-11-18;ABEVOZ24;ABEVO;FUTURO DE ABEV3;FINANCIAL;FUTURE;STOCK FUTURE;2024-12-20;Z24;2024-10-16;2024-12-20;;;;;BRABEV3Z0024;FFSCSX;;;;1;1;100;BRL;Financial;24;24;36;;;;;200001562875;ABEV3;;;;Price;;;;;;;;;;;;;;
2024-11-18;ABGD39;ABGD;ABGD;CASH;EQUITY-CASH;BDR;;;2022-04-19;9999-12-31;;;;;BRABGDBDR008;EDMXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;DRE;ABRDN PHYSICAL GOLD SHARES ETF;9999-12-31;FUNGIBLE;297200000;
2024-11-18;ABTT34;ABTT;ABTT;CASH;EQUITY-CASH;BDR;;;2024-10-14;9999-12-31;;;;;BRABTTBDR007;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;153;1;2;;;;DRN;ABBOTT LABORATORIES;9999-12-31;FUNGIBLE;21014640000;
2024-11-18;ABUD34;ABUD;ABUD;CASH;EQUITY-CASH;BDR;;;2024-05-03;9999-12-31;;;;;BRABUDBDR009;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;107;1;2;;;;DRN;ANHEUSER-BUSCH INBEV SA/NV;9999-12-31;FUNGIBLE;10423110000;
2024-11-18;ACNB34;ACNB;ACNB;CASH;EQUITY-CASH;BDR;;;2024-10-09;9999-12-31;;;;;BRACNBBDR006;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;129;1;2;;;;DRN;ACCENTURE PLC;9999-12-31;FUNGIBLE;632550000;
2024-11-18;ACWI11;ACWI;ACWI;CASH;EQUITY-CASH;ETF FOREIGN INDEX;;;2021-01-29;9999-12-31;;;;;BRACWICTF001;CEOGEU;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;CI;TREND ETF MSCI ACWI FUNDO �NDICE;9999-12-31;FUNGIBLE;5000000;
2024-11-18;ADBE34;ADBE;ADBE;CASH;EQUITY-CASH;BDR;;;2020-10-29;9999-12-31;;;;;BRADBEBDR003;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;DRN;ADOBE INC;9999-12-31;FUNGIBLE;22170000000;
2024-11-18;ADPR34;ADPR;ADPR;CASH;EQUITY-CASH;BDR;;;2024-09-12;9999-12-31;;;;;BRADPRBDR005;EDSXPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;122;1;2;;;;DRN;AUTOMATIC DATA PROCESSING INC;9999-12-31;FUNGIBLE;9964800000;
2024-11-18;AERI3;AERI;AERI;CASH;EQUITY-CASH;SHARES;;;2024-05-14;9999-12-31;;;;;BRAERIACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;9999-12-31;FUNGIBLE;62120196;NOVO MERCADO
2024-11-18;AFHI11;AFHI;AFHI;CASH;EQUITY-CASH;FUNDS;;;2024-10-15;9999-12-31;;;;;BRAFHICTF005;CICJRU;;;;;;1;BRL;;;;;;;;;;;;;;;;;147;1;2;;;;CI;AF INVEST CRI FDO. INV. IMOB - RECEB�VEIS IMOB.;9999-12-31;FUNGIBLE;4555618;
2024-11-18;AFLT3;AFLT;AFLT;CASH;EQUITY-CASH;SHARES;;;2024-06-26;9999-12-31;;;;;BRAFLTACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;122;1;2;;;;ON;AFLUENTE TRANSMISS�O DE ENERGIA EL�TRICA S/A;9999-12-31;FUNGIBLE;63084700;
